z/b	c/b
0.000000000000	0.219182164803
0.013048306496	0.222707640367
0.019711271516	0.233831257614
0.021932259856	0.251123284297
0.023042754026	0.298208900103
0.030816213215	0.306194179976
0.037479178234	0.292426456057
0.039700166574	0.287714834982
0.047473625763	0.270581667437
0.053026096613	0.262738236840
0.059689061632	0.255528955951
0.068573014992	0.245249055425
0.073014991671	0.240804737528
0.087451415880	0.226544274015
0.089672404220	0.224846599787
0.102998334259	0.215217060314
0.106329816768	0.213399720757
0.116324264298	0.208252710122
0.120766240977	0.206437186089
0.131871182676	0.201192338881
0.134092171016	0.200458060272
0.147418101055	0.198255224445
0.149639089395	0.197625842780
0.162965019434	0.195737697785
0.165186007773	0.195798215253
0.177401443642	0.198034940862
0.181843420322	0.198355353346
0.189616879511	0.199494319598
0.199611327041	0.200898627438
0.206274292060	0.202660896099
0.218489727929	0.205084015509
0.222931704609	0.206552572727
0.235147140478	0.211533429292
0.242920599667	0.214776493149
0.250694058856	0.215106918523
0.254025541366	0.215877911062
0.264019988895	0.215877911062
0.267351471405	0.216428620019
0.277345918934	0.219968891884
0.282898389783	0.224138545414
0.288450860633	0.227799140245
0.297334813992	0.215813121773
0.301776790672	0.208167985667
0.306218767351	0.200678343855
0.317323709051	0.188562746806
0.318434203220	0.187516399788
0.329539144919	0.175951511695
0.330649639089	0.174666524129
0.342865074958	0.162162606662
0.345086063298	0.159620873015
0.357301499167	0.147505275965
0.359522487507	0.145166881010
0.373958911716	0.132484840463
0.375069405886	0.131509298882
0.390616324264	0.121445817314
0.396168795114	0.117592559597
0.409494725153	0.109040373445
0.417268184342	0.104083992834
0.422820655192	0.087326706006
0.425041643531	0.081945492771
0.428373126041	0.073354433045
0.436146585230	0.061018552413
0.439478067740	0.055070895679
0.446141032760	0.046259552371
0.452803997779	0.038048982469
0.458356468629	0.033501461538
0.466129927818	0.026434029926
0.469461410328	0.024030936296
0.478345363687	0.018601724763
0.479455857857	0.018017800830
0.490560799556	0.007650510078
0.500000000000	-0.000010396504
